All Incident Codes,Age Category
110100,0
110100,0
010010,2
000000,2
010100,2
010000010000,2
010100010000010000,2
110000000001,1
000000000100,2
000100,2
010100000100010100,2
000000010011,2
000000,2
100000010001000001,1
000000000000,2
000000,2
010000000000,2
000000000100010100000100010000,2
110000,0
110100,0
000000,2
000100,2
000000,2
010000,2
010010,2
000000,2
110100,0
100100,0
110100010100000000,1
000100,2
010000,2
010100010100,2
000000000100010000,2
110000,0
110000,0
110000,0
110000,0
110100,0
110000,0
000100010100,2
110000010100,1
010000,2
010000,2
010000,2
110000,0
110000,0
110000,0
000100,2
110001110001,0
000100,2
010000010100,2
010100,2
010100,2
010100,2
010100010100,2
010000,2
010000010100,2
010000,2
010000,2
010000,2
010000,2
010000000100,2
010000,2
000000,2
010000000000010010,2
001100011100,2
010000,2
010000,2
010000,2
100100,0
110000,0
010000010001,2
010100010100010100,2
000000010000,2
110000,0
100000,0
000000010000,2
100000100001,0
010000,2
010000,2
000000,2
000100,2
000000,2
010000010000,2
000000,2
000100,2
110000,0
010101010100000100010101000001010101010101,2
110000110000100101010011,1
000100,2
010000,2
010000,2
010100,2
010000,2
010000,2
000100,2
000000,2
000100,2
010100010100000001,2
110000100000000100000100010001000101010001,1
010000,2
010000010101,2
010100,2
000000,2
000001010000,2
010000,2
010000,2
010100,2
010100000000000000010001,2
000000,2
010000,2
010000,2
010100,2
010000010100,2
110100010001,1
010000,2
010100,2
010000010001010001,2
000100,2
110000010101000101,1
010000,2
010000000001,2
110000,0
100000100000,0
000001,2
010100010100000100000100010100010100010101,2
010100,2
000000010000010000010001,2
010000000000,2
110000110101,0
110000,0
100000,0
100000,0
100100100000,0
110010,0
010100,2
010100,2
010000,2
000000010100000100,2
010000,2
010100000100,2
010100000000,2
110100110100110100,0
000000010000010100010000010001,2
010010,2
110000100100,0
000000000001,2
000000,2
010000010001,2
000100,2
010000,2
101000,0
010101,2
100000100100100000000101,1
000000,2
010100,2
010000000000000000,2
010000000100010101,2
010000,2
100000,0
010000000100010001000001000101,2
000100,2
110100,0
000101,2
110100010001,1
110100,0
000000,2
010000,2
000000,2
100000,0
000100,2
010100010100010101,2
010000,2
100100,0
010000010101010101000101,2
010000,2
100000010000,1
010100010100,2
010100010100,2
010000010100010100010000,2
000100001101,2
010000,2
010000,2
010100,2
010100,2
010010000101,2
010000010000000100010101,2
010000000000,2
110000,0
010100,2
000000000100,2
000000,2
010000,2
000000,2
010100000100,2
010000,2
000100000000010001,2
000100000100,2
010100000000000100,2
010100,2
010100010000,2
010100,2
000000,2
000100,2
010100,2
010000000100000100000001,2
100100,0
010100010001010101010101,2
000000,2
000100,2
010000,2
000000,2
000000,2
110000110000000000010101,1
010110,2
110000,0
010000,2
110000,0
100000110001,0
010100000000010100,2
010000,2
110000,0
000100,2
110000,0
011000,2
010100010100010101010101,2
010000,2
000010,2
000000,2
010000,2
010100,2
000000,2
000000,2
000000,2
010000010000,2
010100,2
100100110101,0
011001011000,2
000000010001010001010001010101,2
000000,2
010100,2
010100010000000100010100000100,2
010000,2
000100,2
010100010101,2
000000000100,2
000100,2
010100,2
010000000100000001,2
000100,2
000000,2
010100,2
010000,2
110000110000110000110000,0
010000000100,2
100001110000,0
010000,2
000000,2
010000,2
010000,2
000100,2
010010,2
110000110001,0
110100,0
010000000101010101,2
000000,2
000000,2
010100,2
010000,2
000000010100,2
000000,2
101010100100,0
000000000000010100000101000101,2
010100,2
000100,2
010100010101010001,2
010010,2
010000010000010100010000000101,2
010000010000,2
000000,2
000000000000000100010000000000,2
000000,2
010100,2
000100010100000000000000010101,2
000000,2
010000,2
010100,2
000000,2
000000011100010100,2
000100000101,2
010100,2
010000,2
100000100100,0
010100010100010100,2
000100,2
000000000101,2
110001,0
000000000101,2
010100,2
010100,2
000000,2
000100,2
010010,2
010000,2
000000000100000000,2
000000,2
000100,2
010000,2
010000010000,2
110000,0
000100000000000000,2
100100100000100101,0
010000,2
010000010100010101010001010101,2
010000,2
000100010010010100000000,2
010100,2
000100,2
010000,2
100000,0
010000000000,2
010000,2
010000,2
010100010000,2
000100000101,2
010100,2
010000,2
010100,2
001000,2
010100,2
010100010010,2
010000000001,2
010100,2
010100,2
010010,2
010100010100,2
010010010010,2
010000,2
010100000100000101,2
010010,2
010000,2
010000,2
010000,2
000000000100010100000100010000010101010101,2
000000,2
010000,2
010010,2
000010000011,2
010000000000000000000000,2
110000100000010001,1
000100,2
010000,2
010000010101010001,2
010000,2
000101010000,2
010000,2
000100,2
010000,2
010000,2
010100000101,2
000000,2
010000,2
000100,2
010100010000,2
010000,2
010000,2
010000000000,2
010100,2
000010,2
010100000000,2
010010010100010001,2
000100000000,2
110100,0
000000010000010011,2
000000,2
000100,2
010100,2
010000,2
110000,0
000101,2
000000,2
000100,2
110000110100010100,1
010100,2
000100,2
000000,2
010000010000010000,2
010000010000,2
000000,2
010100,2
010010,2
100000,0
100000,0
000000010000010100010000010000000100,2
110000110000110100110100110100100000000101,1
010010010100010000010100,2
000100,2
010100,2
110000,0
010100,2
010100,2
010010,2
000000010000010000010001,2
010000,2
010000,2
000100,2
010000,2
000000,2
010100010101,2
010000,2
100000,0
010000010100010001,2
010100,2
010000,2
010000,2
010010,2
110000,0
110000,0
010000010100010000,2
010000,2
010100,2
010000,2
000000010000010000,2
000000,2
010000,2
000000,2
