,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Analysis notes
36,"SCHOOL, FAIL SEND CHILD TO c76 §2",17,0,"SCHOOL, FAIL SEND CHILD TO",76,2,Yes,36,not in the list of non-expungable offenses.,,
37,"BICYCLE PATH, DRIVE HORSE/ANIMAL ON c82 §36",0,1,"BICYCLE PATH, DRIVE HORSE/ANIMAL ON",82,36,Yes,37,not in the list of non-expungable offenses.,,
38,"STATE HWAY¿CLOSED TO TRAVEL, MV WHERE * c85 §2E",0,9,"STATE HWAY¿CLOSED TO TRAVEL, MV WHERE *",85,2E,Yes,38,not in the list of non-expungable offenses.,,
39,"SNOW/ICE, VIOL MUNIC BY-LAW ON REMOVING c85 §5",0,1,"SNOW/ICE, VIOL MUNIC BY-LAW ON REMOVING",85,5,Yes,39,not in the list of non-expungable offenses.,,
40,MUNICIPAL BY-LAW VIOLATION c85 §10,1,9,MUNICIPAL BY-LAW VIOLATION,85,10,Yes,40,not in the list of non-expungable offenses.,,
41,MOTOR VEH BY-LAW VIOLATION * c85 §10,0,1,MOTOR VEH BY-LAW VIOLATION *,85,10,Yes,41,not in the list of non-expungable offenses.,,
42,BICYCLE VIOLATION c85 §11B,1,15,BICYCLE VIOLATION,85,11B,Yes,42,not in the list of non-expungable offenses.,,
43,BICYCLE VIOLATOR REFUSE IDENTIFY SELF c85 §11C,0,2,BICYCLE VIOLATOR REFUSE IDENTIFY SELF,85,11C,Yes,43,not in the list of non-expungable offenses.,,
44,FLARES VIOLATION BY COMMERCIAL VEHICLE * c85 §14B,0,1,FLARES VIOLATION BY COMMERCIAL VEHICLE *,85,14B,Yes,44,not in the list of non-expungable offenses.,,
45,LIGHTS VIOLATION * c85 §15,13,31,LIGHTS VIOLATION *,85,15,Yes,45,not in the list of non-expungable offenses.,,
46,LIGHTS VIOLATION BY NON-MOTOR VEHICLE c85 §15,0,1,LIGHTS VIOLATION BY NON-MOTOR VEHICLE,85,15,Yes,46,not in the list of non-expungable offenses.,,
47,"NAME/ADDRESS, REFUSE GIVE AT NIGHT c85 §16",1,0,"NAME/ADDRESS, REFUSE GIVE AT NIGHT",85,16,Yes,47,not in the list of non-expungable offenses.,,
48,"NAME/ADDRESS, MV OP REFUSE GIVE AT NT * c85 §16",0,2,"NAME/ADDRESS, MV OP REFUSE GIVE AT NT *",85,16,Yes,48,not in the list of non-expungable offenses.,,
49,SOLICIT FROM PERSONS IN MOTOR VEHICLES c85 §17A,13,31,SOLICIT FROM PERSONS IN MOTOR VEHICLES,85,17A,Yes,49,not in the list of non-expungable offenses.,,
50,SPEEDING ON COUNTY BRIDGE VIOL BY-LAW * c85 §20,0,1,SPEEDING ON COUNTY BRIDGE VIOL BY-LAW *,85,20,Yes,50,not in the list of non-expungable offenses.,,
51,WEIGHT VIOLATION ON BRIDGE * c85 §34,3,0,WEIGHT VIOLATION ON BRIDGE *,85,34,Yes,51,not in the list of non-expungable offenses.,,
52,LOAD UNSECURED/UNCOVERED * c85 §36,5,15,LOAD UNSECURED/UNCOVERED *,85,36,Yes,52,not in the list of non-expungable offenses.,,
53,"TREE/SHRUB, WANTONLY INJURE PUBLIC c87 §12",0,1,"TREE/SHRUB, WANTONLY INJURE PUBLIC",87,12,Yes,53,not in the list of non-expungable offenses.,,
54,"KEEP RIGHT FOR ONCOMING MV, FAIL TO * c89 §1",21,46,"KEEP RIGHT FOR ONCOMING MV, FAIL TO *",89,1,Yes,54,not in the list of non-expungable offenses.,,
55,PASSING VIOLATION * c89 §2,31,106,PASSING VIOLATION *,89,2,Yes,55,not in the list of non-expungable offenses.,,
56,"KEEP RIGHT ON HILL/OBSTRUCTED VIEW, FL * c89 §4",14,11,"KEEP RIGHT ON HILL/OBSTRUCTED VIEW, FL *",89,4,Yes,56,not in the list of non-expungable offenses.,,
57,"FAILURE TO OBEY PAVEMENT MARKINGS/LINES, OPERATING AND c. 89 s. 4",0,2,"FAILURE TO OBEY PAVEMENT MARKINGS/LINES, OPERATING AND",89,4,Yes,57,not in the list of non-expungable offenses.,,
58,MARKED LANES VIOLATION * c89 §4A,2191,2926,MARKED LANES VIOLATION *,89,4A,Yes,58,not in the list of non-expungable offenses.,,
59,"RIGHT LANE, FAIL DRIVE IN * c89 §4B",134,40,"RIGHT LANE, FAIL DRIVE IN *",89,4B,Yes,59,not in the list of non-expungable offenses.,,
60,BREAKDOWN LANE VIOLATION * c89 §4B,15,19,BREAKDOWN LANE VIOLATION *,89,4B,Yes,60,not in the list of non-expungable offenses.,,
61,LEFT LANE RESTRICTION VIOLATION * c89 §4C,20,11,LEFT LANE RESTRICTION VIOLATION *,89,4C,Yes,61,not in the list of non-expungable offenses.,,
62,STREETCAR FAIL STOP FOR FIRE APPARATUS c89 §6A,1,0,STREETCAR FAIL STOP FOR FIRE APPARATUS,89,6A,Yes,62,not in the list of non-expungable offenses.,,
63,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT c89 §7",12,40,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT",89,7,Yes,63,not in the list of non-expungable offenses.,,
64,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 3D c89 §7",7,25,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 3D",89,7,Yes,64,not in the list of non-expungable offenses.,,
65,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 2D c89 §7",0,1,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 2D",89,7,Yes,65,not in the list of non-expungable offenses.,,
66,"EMERGENCY VEHICLE, OBSTRUCT * c89 §7A",13,77,"EMERGENCY VEHICLE, OBSTRUCT *",89,7A,Yes,66,not in the list of non-expungable offenses.,,
67,"YIELD AT INTERSECTION, FAIL * c89 §8",84,248,"YIELD AT INTERSECTION, FAIL *",89,8,Yes,67,not in the list of non-expungable offenses.,,
68,"STOP/YIELD, FAIL TO * c89 §9",590,2878,"STOP/YIELD, FAIL TO *",89,9,Yes,68,not in the list of non-expungable offenses.,,
69,CROSSWALK VIOLATION * c89 §11,55,338,CROSSWALK VIOLATION *,89,11,Yes,69,not in the list of non-expungable offenses.,,
70,"DEFECTIVE EQUIPMENT, OPERATING WITH c. 90 s. 1",0,3,"DEFECTIVE EQUIPMENT, OPERATING WITH",90,1,Yes,70,not in the list of non-expungable offenses. Seems to be missing a section number - section 1 is just defintions. Source file incorrect?,,
71,BOAT OUILIQUOR c90B §8(a),2,0,BOAT OUILIQUOR,90B,8(a),Yes,71,1052 on Master Crime List offense with Expunge categories.xlsx from Sana,,analyze with and without
72,UNLICENSED OPERATION OF MOTOR VEHICLE c. 90 s. 10a,0,22,UNLICENSED OPERATION OF MOTOR VEHICLE,90,10a,Yes,72,1011 on Master Crime list. not in the list of non-expungable offenses. C90 s10a repealed 1957.,,
73,LICENSE NOT IN POSSESSION * c90 §11,332,535,LICENSE NOT IN POSSESSION *,90,11,Yes,73,not in the list of non-expungable offenses.,,
74,REGISTRATION NOT IN POSSESSION * c90 §11,204,256,REGISTRATION NOT IN POSSESSION *,90,11,Yes,74,not in the list of non-expungable offenses.,,
75,"IMPROPER OPERATION OF MV, ALLOW * c90 §12",11,1551,"IMPROPER OPERATION OF MV, ALLOW *",90,12,Yes,75,not in the list of non-expungable offenses.,,
76,"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT c90 §12",0,277,"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT",90,12,Yes,76,not in the list of non-expungable offenses.,,
77,"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT, SUBSQ. OFF c90 §12",0,4,"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT, SUBSQ. OFF",90,12,Yes,77,not in the list of non-expungable offenses.,,
78,"IGNITION INTERLOCK, PERMIT OPERATION WITHOUT c90 §12(c)",1,0,"IGNITION INTERLOCK, PERMIT OPERATION WITHOUT",90,12(c),Yes,78,not in the list of non-expungable offenses.,,
79,SNOW/REC VEHUNREGISTERED * c90B §21,1,0,SNOW/REC VEHUNREGISTERED *,90B,21,Yes,79,not in the list of non-expungable offenses.,,
80,"SNOW/REC VEHREGISTRATION, FL PRODUCE * c90B §22",14,0,"SNOW/REC VEHREGISTRATION, FL PRODUCE *",90B,22,Yes,80,not in the list of non-expungable offenses.,,
81,SNOW/REC VEHNOISE VIOLATION * c90B §24,1,0,SNOW/REC VEHNOISE VIOLATION *,90B,24,Yes,81,not in the list of non-expungable offenses.,,
82,SNOW/REC VEHHELMET VIOLATION * c90B §26,7,0,SNOW/REC VEHHELMET VIOLATION *,90B,26,Yes,82,not in the list of non-expungable offenses.,,
83,SNOW/REC VEHUNSAFE OPERATION * c90B §26,4,0,SNOW/REC VEHUNSAFE OPERATION *,90B,26,Yes,83,not in the list of non-expungable offenses.,,
84,SNOW/REC VEHUNDER 14 OPERATE UNSUPERVSD c90B §26,2,0,SNOW/REC VEHUNDER 14 OPERATE UNSUPERVSD,90B,26,Yes,84,not in the list of non-expungable offenses.,,
85,SNOW/REC VEHOUILIQUOR * c90B §26,1,0,SNOW/REC VEHOUILIQUOR *,90B,26,yes,85,not in the list of non-expungable offenses.,,
86,"SNOW VEHPRIVATE PROPERTY, ON * c90B §26",1,0,"SNOW VEHPRIVATE PROPERTY, ON *",90B,26,Yes,86,not in the list of non-expungable offenses.,,
87,"SNOW/REC VEHSTOP FOR POLICE, FAIL * c90B §32",1,0,"SNOW/REC VEHSTOP FOR POLICE, FAIL *",90B,32,Yes,87,not in the list of non-expungable offenses.,,
88,"MARIHUANA, TRAFFICKING IN  c94C §32E(a)",2,0,"MARIHUANA, TRAFFICKING IN ",94C,32E(a),Yes,88,"code 402, 1095-1098 on Master Crime List offense with Expunge categories.xlsx from Sana",,
89,"BODY, IMPROPER DISPOSITION OF HUMAN c114  §43M",12,0,"BODY, IMPROPER DISPOSITION OF HUMAN",114,43M,Yes,89,not in the list of non-expungable offenses.,,
90,Assault & Battery on  Family/Household Member  c265  §13M(a),2099,0,ASSAULT & BATTERY ON  FAMILY/HOUSEHOLD MEMBER ,265,13M(a),No,90,,100Ja(17),
91,Assault on Family/Household Member  c265  §13M(a),145,0,ASSAULT ON FAMILY/HOUSEHOLD MEMBER ,265,13M(a),No,91,,100Ja(17),
92,"Assault & Battery on Family/Household Member Subsequent,  c265  §13M(b)",41,0,"ASSAULT & BATTERY ON FAMILY/HOUSEHOLD MEMBER SUBSEQUENT, ",265,13M(b),No,92,,100Ja(17),
93,"Assault on Family/Household Member, Subsequent,  c265  §13M(b)",6,0,"ASSAULT ON FAMILY/HOUSEHOLD MEMBER, SUBSEQUENT, ",265,13M(b),No,93,,100Ja(17),
94,"Assault in Violation of Restraining Order,  c265,s13A(b)(iii)",1,0,"ASSAULT IN VIOLATION OF RESTRAINING ORDER, ","265,",13A(b)(iii),No,94,1189 on Master Crime List offense with Expunge categories.xlsx from Sana,100Ja(18),
95,"AGGRAVATED RAPE &  ABUSE OF A CHILD, 5 YEAR AGE DIFFERENCE c265s23A(a)",74,0,"AGGRAVATED RAPE &  ABUSE OF A CHILD, 5 YEAR AGE DIFFERENCE",265,23A(a),No,95,1277 on Master Crime List offense with Expunge categories.xlsx from Sana,100Ja(18),
96,"AGGRAVATED RAPE &  ABUSE OF A CHILD, 10 YEAR AGE DIFFERENCE c265s23A(b)",21,0,"AGGRAVATED RAPE &  ABUSE OF A CHILD, 10 YEAR AGE DIFFERENCE",265,23A(b),No,96,1277 on Master Crime List offense with Expunge categories.xlsx from Sana,100Ja(18),
97,A&B ON +60/DISABLED  c265 §13K(a1/2),19,0,A&B ON +60/DISABLED ,265,13K(a1/2),No,97,1208 on Master Crime List offense with Expunge categories.xlsx from Sana,100Ja(18),
98,LARCENY FROM BUILDING c266 §20 - HABITUAL,2,0,LARCENY FROM BUILDING,266,20 - HABITUAL,yes,98,1332-1357 on Master Crime List offense with Expunge categories.xlsx from Sana,,
99,"STOLEN PROPERTY, REFUSE RETURN c266 §21",0,1,"STOLEN PROPERTY, REFUSE RETURN",266,21,yes,99,not in the list of non-expungable offenses.,,
100,"POULTRY, B&E OR ENTER TO STEAL c266 §22",0,1,"POULTRY, B&E OR ENTER TO STEAL",266,22,yes,100,not in the list of non-expungable offenses.,,
101,LARCENY FROM PERSON +65 c266 §25(a),14,50,LARCENY FROM PERSON +65,266,25(a),no,101,1358-1359 on Master Crime List offense with Expunge categories.xlsx from Sana,100Ja(4),
102,"LARCENY FROM PERSON +65, SUBSQ.OFF. c266 §25(a)",0,7,"LARCENY FROM PERSON +65, SUBSQ.OFF.",266,25(a),no,102,1358-1359 on Master Crime List offense with Expunge categories.xlsx from Sana,100Ja(4),
103,LARCENY FROM PERSON c266 §25(b),97,710,LARCENY FROM PERSON,266,25(b),yes,103,1357 on Master Crime List offense with Expunge categories.xlsx from Sana,,
104,"MOTOR VEH TO DEFRAUD, REMOVE c266 §27A",0,5,"MOTOR VEH TO DEFRAUD, REMOVE",266,27A,yes,104,not in the list of non-expungable offenses.,,
105,"LARCENY, ATTEMPTED c266 §30",0,11,"LARCENY, ATTEMPTED",266,30,yes,105,not in the list of non-expungable offenses.,,
106,LARCENY OVER $250 c. 266 s. 30,0,4,LARCENY OVER $250,266,30,yes,106,1370 on Master Crime List offense with Expunge categories.xlsx from Sana,,
107,"FIREARM, LARCENY OF c. 266 s. 30",0,1,"FIREARM, LARCENY OF",266,30,yes,107,1369 on Master Crime List offense with Expunge categories.xlsx from Sana,,
108,UNLAWFUL DEACTIVATION/REMOVAL THEFT PROTECTION DEVICE c266 §30B,0,2,UNLAWFUL DEACTIVATION/REMOVAL THEFT PROTECTION DEVICE,266,30B,yes,108,not in the list of non-expungable offenses.,,
109,Possession of a theft detection shielding device w/ intent to steal c266 §30B(b),1,0,POSSESSION OF A THEFT DETECTION SHIELDING DEVICE W/ INTENT TO STEAL,266,30B(b),yes,109,not in the list of non-expungable offenses.,,
110,Distribution of a theft device deactivator c266 §30B(c),3,0,DISTRIBUTION OF A THEFT DEVICE DEACTIVATOR,266,30B(c),yes,110,not in the list of non-expungable offenses.,,
111,Deactivation or removal of a theft detection w/ the intent to steal c266 §30B(e),26,0,DEACTIVATION OR REMOVAL OF A THEFT DETECTION W/ THE INTENT TO STEAL,266,30B(e),yes,111,not in the list of non-expungable offenses.,,
112,"Forging retail receipt, prict ticket, or UPC label w/ intent to defraud c266 §30C",15,0,"FORGING RETAIL RECEIPT, PRICT TICKET, OR UPC LABEL W/ INTENT TO DEFRAUD",266,30C,yes,112,not in the list of non-expungable offenses.,,
113,"LARCENY BY SINGLE SCHEME, ATTEMPTED c266 §30L",0,16,"LARCENY BY SINGLE SCHEME, ATTEMPTED",266,30L,yes,113,not in the list of non-expungable offenses.,,
114,"Larceny over $250, Habitual Crim, c266,s30",1,0,"LARCENY OVER $250, HABITUAL CRIM,","266,",30,yes,114,not in the list of non-expungable offenses.,,
115,"Shoplifting, c266,s30A",1,0,"SHOPLIFTING,","266,",30A,yes,115,not in the list of non-expungable offenses.,,
116,"SIGNATURE, OBTAINING BY FALSE PRETENSE c266 §31",2,1,"SIGNATURE, OBTAINING BY FALSE PRETENSE",266,31,yes,116,not in the list of non-expungable offenses.,,
117,"CREDIT CARD, FALSE STATEMENT TO OBTAIN c266 §37B(a)",5,18,"CREDIT CARD, FALSE STATEMENT TO OBTAIN",266,37B(a),yes,117,not in the list of non-expungable offenses.,,
118,"CREDIT CARD, LARCENY OF c266 §37B(b)",95,106,"CREDIT CARD, LARCENY OF",266,37B(b),yes,118,not in the list of non-expungable offenses.,,
119,"CREDIT CARD, RECEIVE STOLEN c266 §37B(b)",48,228,"CREDIT CARD, RECEIVE STOLEN",266,37B(b),yes,119,not in the list of non-expungable offenses.,,
120,"CREDIT CARD, RECEIVE LOST c266 §37B(c)",7,23,"CREDIT CARD, RECEIVE LOST",266,37B(c),yes,120,not in the list of non-expungable offenses.,,
121,"CREDIT CARD, NON-CARDHOLDER SIGN c266 §37B(e)",2,8,"CREDIT CARD, NON-CARDHOLDER SIGN",266,37B(e),yes,121,not in the list of non-expungable offenses.,,
122,"CREDIT CARD, IMPROPER USE UNDER $250  c266 §37B(f)",129,0,"CREDIT CARD, IMPROPER USE UNDER $250 ",266,37B(f),yes,122,not in the list of non-expungable offenses.,,
123,"CREDIT CARD, IMPROPER USE UNDER $1200  c266 §37B(f)",3,0,"CREDIT CARD, IMPROPER USE UNDER $1200 ",266,37B(f),yes,123,not in the list of non-expungable offenses.,,
124,"CREDIT CARD, IMPROPER USE UNDER $250 c266 §37B(f)",0,99,"CREDIT CARD, IMPROPER USE UNDER $250",266,37B(f),yes,124,not in the list of non-expungable offenses.,,
125,"CREDIT CARD, IMPROPER USE UNDER $1200 c266 §37B(f)",0,4,"CREDIT CARD, IMPROPER USE UNDER $1200",266,37B(f),yes,125,not in the list of non-expungable offenses.,,
126,CREDIT CARD FRAUD UNDER $250 c266 §37B(g),29,403,CREDIT CARD FRAUD UNDER $250,266,37B(g),yes,126,not in the list of non-expungable offenses.,,
127,CREDIT CARD FRAUD UNDER $1200 c266 §37B(g),9,12,CREDIT CARD FRAUD UNDER $1200,266,37B(g),yes,127,not in the list of non-expungable offenses.,,
128,"CREDIT CARD, ALLOW IMPROP USE UNDER $250 c266 §37B(h)",0,11,"CREDIT CARD, ALLOW IMPROP USE UNDER $250",266,37B(h),yes,128,not in the list of non-expungable offenses.,,
129,"CREDIT CARD, ALLOW IMPROP USE UNDER $1200 c266 §37B(h)",0,2,"CREDIT CARD, ALLOW IMPROP USE UNDER $1200",266,37B(h),yes,129,not in the list of non-expungable offenses.,,
130,CREDIT CARD FRAUD UNDER $250 BY MERCHANT c266 §37B(i),0,4,CREDIT CARD FRAUD UNDER $250 BY MERCHANT,266,37B(i),yes,130,not in the list of non-expungable offenses.,,
131,CREDIT CARD FRAUD UNDER $1200 BY MERCHANT c266 §37B(i),0,1,CREDIT CARD FRAUD UNDER $1200 BY MERCHANT,266,37B(i),yes,131,not in the list of non-expungable offenses.,,
132,"CREDIT CARD, RECEIVE IMPROP UNDER $250 c266 §37B(j)",2,18,"CREDIT CARD, RECEIVE IMPROP UNDER $250",266,37B(j),yes,132,not in the list of non-expungable offenses.,,
133,"CREDIT CARD, FALSE REPORT OF LOST c266 §37B(k)",0,3,"CREDIT CARD, FALSE REPORT OF LOST",266,37B(k),yes,133,not in the list of non-expungable offenses.,,
134,"CREDIT CARD, RECEIVE IMPROPER c266 §37C(b)",3,15,"CREDIT CARD, RECEIVE IMPROPER",266,37C(b),yes,134,not in the list of non-expungable offenses.,,
135,"CREDIT CARD, FORGE OR UTTER FORGED c266 §37C(c)",14,149,"CREDIT CARD, FORGE OR UTTER FORGED",266,37C(c),yes,135,not in the list of non-expungable offenses.,,
136,"CREDIT CARD, IMPROPER USE OVER $250 c266 §37C(d)",51,120,"CREDIT CARD, IMPROPER USE OVER $250",266,37C(d),yes,136,not in the list of non-expungable offenses.,,
137,"CREDIT CARD, IMPROPER USE OVER $1200 c266 §37C(d)",0,3,"CREDIT CARD, IMPROPER USE OVER $1200",266,37C(d),yes,137,not in the list of non-expungable offenses.,,
138,CREDIT CARD FRAUD OVER $250 c266 §37C(e),47,360,CREDIT CARD FRAUD OVER $250,266,37C(e),yes,138,not in the list of non-expungable offenses.,,
139,CREDIT CARD FRAUD OVER $1200 c266 §37C(e),2,8,CREDIT CARD FRAUD OVER $1200,266,37C(e),yes,139,not in the list of non-expungable offenses.,,
140,CREDIT CARD FRAUD OVER $250 BY MERCHANT c266 §37C(g),0,4,CREDIT CARD FRAUD OVER $250 BY MERCHANT,266,37C(g),yes,140,not in the list of non-expungable offenses.,,
141,"CREDIT CARD, RECEIVE IMPROP OVER $250 c266 §37C(h)",0,10,"CREDIT CARD, RECEIVE IMPROP OVER $250",266,37C(h),yes,141,not in the list of non-expungable offenses.,,
142,"CREDIT CARD, POSSESS BLANK c266 §37C(i)",0,7,"CREDIT CARD, POSSESS BLANK",266,37C(i),yes,142,not in the list of non-expungable offenses.,,
143,"CREDIT CARD, POSSESS COUNTERFEIT PRESS c266 §37C(j)",0,23,"CREDIT CARD, POSSESS COUNTERFEIT PRESS",266,37C(j),yes,143,not in the list of non-expungable offenses.,,
144,"TELEPHONE CREDIT CARD SYSTEM, PUBLISH c266 §37D",3,0,"TELEPHONE CREDIT CARD SYSTEM, PUBLISH",266,37D,yes,144,not in the list of non-expungable offenses.,,
145,IDENTITY FRAUD c266 §37E,76,541,IDENTITY FRAUD,266,37E,yes,145,not in the list of non-expungable offenses.,,
146,"DEFRAUDING, POSE AS ANOTHER W/O EXPRESS AUTHORIZATION c. 266 s. 37E",0,1,"DEFRAUDING, POSE AS ANOTHER W/O EXPRESS AUTHORIZATION",266,37E,yes,146,not in the list of non-expungable offenses.,,
147,"WILL, STEAL/DESTROY/CONCEAL c266 §39",0,3,"WILL, STEAL/DESTROY/CONCEAL",266,39,yes,147,not in the list of non-expungable offenses.,,
148,"THIEF, COMMON & NOTORIOUS c266 §40",30,92,"THIEF, COMMON & NOTORIOUS",266,40,yes,148,not in the list of non-expungable offenses.,,
149,"THIEF, COMMON & NOTORIOUS-HABITUAL c266 §40",2,0,"THIEF, COMMON & NOTORIOUS-HABITUAL",266,40,yes,149,not in the list of non-expungable offenses.,,
150,"LARCENY OVER $250, COMMON AND NOTORIOUS THIEF c266 §40",1,0,"LARCENY OVER $250, COMMON AND NOTORIOUS THIEF",266,40,yes,150,not in the list of non-expungable offenses.,,
151,"BICYCLE, LARCENY OF, SUBSQ.OFF. c266 §41",0,3,"BICYCLE, LARCENY OF, SUBSQ.OFF.",266,41,yes,151,not in the list of non-expungable offenses.,,
152,"BANK BILL PAPER, LARCENY OF c266 §42",0,1,"BANK BILL PAPER, LARCENY OF",266,42,yes,152,not in the list of non-expungable offenses.,,
153,"BANK, EMBEZZLEMENT FROM c266 §52",0,2,"BANK, EMBEZZLEMENT FROM",266,52,yes,153,not in the list of non-expungable offenses.,,
154,"BANK OFFICER/EMPLOYEE, MISCONDUCT BY c266 §53A",1,0,"BANK OFFICER/EMPLOYEE, MISCONDUCT BY",266,53A,yes,154,not in the list of non-expungable offenses.,,
155,"FIDUCIARY, EMBEZZLEMENT/MISAPPLICATN BY c266 §57",2,56,"FIDUCIARY, EMBEZZLEMENT/MISAPPLICATN BY",266,57,yes,155,not in the list of non-expungable offenses.,,
156,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN c266 §60A",0,2,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN",266,60A,yes,156,not in the list of non-expungable offenses.,,
157,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN c. 266 s. 60A",0,1,"TRADE SECRET, BUY/SELL/RECEIVE STOLEN",266,60A,yes,157,not in the list of non-expungable offenses.,,
158,"RECEIVER, COMMON c266 §62",2,3,"RECEIVER, COMMON",266,62,yes,158,not in the list of non-expungable offenses.,,
159,"HIRING VEHICLE, FRAUD IN c266 §64",1,7,"HIRING VEHICLE, FRAUD IN",266,64,yes,159,not in the list of non-expungable offenses.,,
160,"BOOKS, FALSIFY/OMIT ENTRY IN c266 §67",1,27,"BOOKS, FALSIFY/OMIT ENTRY IN",266,67,yes,160,not in the list of non-expungable offenses.,,
161,FALSE CLAIM TO GOVERNMENT AGENCY c266 §67B,0,7,FALSE CLAIM TO GOVERNMENT AGENCY,266,67B,yes,161,not in the list of non-expungable offenses.,,
162,"GOLD, FRAUD IN FINENESS OF c266 §78",0,2,"GOLD, FRAUD IN FINENESS OF",266,78,yes,162,not in the list of non-expungable offenses.,,
163,"LEASED PERSONALTY, SELL c266 §84",1,0,"LEASED PERSONALTY, SELL",266,84,yes,163,not in the list of non-expungable offenses.,,
164,"LEASED PERSONALTY, FAIL RETURN c266 §87",7,27,"LEASED PERSONALTY, FAIL RETURN",266,87,yes,164,not in the list of non-expungable offenses.,,
165,"LEASED PERSONALTY, CONCEAL/SELL/PLEDGE c266 §87",0,12,"LEASED PERSONALTY, CONCEAL/SELL/PLEDGE",266,87,yes,165,not in the list of non-expungable offenses.,,
166,"CONSIGNEE/FACTOR, CONVERSION BY c266 §88",0,1,"CONSIGNEE/FACTOR, CONVERSION BY",266,88,yes,166,not in the list of non-expungable offenses.,,
167,"DEGREE, FALSE CLAIM TO HOLD SCHOOL c266 §89",0,2,"DEGREE, FALSE CLAIM TO HOLD SCHOOL",266,89,yes,167,not in the list of non-expungable offenses.,,
168,"FINANCIAL STATEMENT, PUBLISH FALSE c266 §92",0,1,"FINANCIAL STATEMENT, PUBLISH FALSE",266,92,yes,168,not in the list of non-expungable offenses.,,
169,"BUILDING, VANDALIZE c266 §94",0,1,"BUILDING, VANDALIZE",266,94,yes,169,not in the list of non-expungable offenses.,,
170,"HISTORIC MARKER/MONUMENT, VANDALIZE c266 §95",3,0,"HISTORIC MARKER/MONUMENT, VANDALIZE",266,95,yes,170,not in the list of non-expungable offenses.,,
171,"STATE BUILDING, VANDALIZE c266 §96",5,15,"STATE BUILDING, VANDALIZE",266,96,yes,171,not in the list of non-expungable offenses.,,
172,"PLAYGROUND EQUIPMENT, VANDALIZE c266 §98A",0,1,"PLAYGROUND EQUIPMENT, VANDALIZE",266,98A,yes,172,not in the list of non-expungable offenses.,,
173,"LIBRARY MATERIALS, FAIL RETURN c266 §99A",19,0,"LIBRARY MATERIALS, FAIL RETURN",266,99A,yes,173,not in the list of non-expungable offenses.,,
174,TRESPASS WITH NON-MV VEHICLE  c266 §121A,4,0,TRESPASS WITH NON-MV VEHICLE ,266,121A,yes,174,not in the list of non-expungable offenses.,,
175,"TRADE SECRET, LARCENY OF c266 §30(4)",0,1,"TRADE SECRET, LARCENY OF",266,30(4),yes,175,not in the list of non-expungable offenses.,,
176,FILING FALSE DOCUMENT WITH REGISTRAR OF DEEDS c266 §35/A(b)4,0,2,FILING FALSE DOCUMENT WITH REGISTRAR OF DEEDS,266,35/A(b)4,yes,176,not in the list of non-expungable offenses.,,
177,"IDENTITY FRAUD, POSSESS TOOLS W/INTENT c266 §37Ec1/2",0,2,"IDENTITY FRAUD, POSSESS TOOLS W/INTENT",266,37Ec1/2,yes,177,not in the list of non-expungable offenses.,,
178,LARCENY UNDER $250 BY SINGLE SCHEME c266 §30 & §30(1),25,82,LARCENY UNDER $250 BY SINGLE SCHEME,266,30 & §30(1),yes,178,not in the list of non-expungable offenses.,,
179,LARCENY UNDER $1200 BY SINGLE SCHEME c266 §30 & §30(1),8,0,LARCENY UNDER $1200 BY SINGLE SCHEME,266,30 & §30(1),yes,179,not in the list of non-expungable offenses.,,
180,LARCENY OVER $250 BY BOAT CAPTAIN  c266 §32 & §30(1),1,0,LARCENY OVER $250 BY BOAT CAPTAIN ,266,32 & §30(1),yes,180,not in the list of non-expungable offenses.,,
181,LARCENY OVER $250 BY BOAT CAPTAIN c266 §32 & §30(1),0,1,LARCENY OVER $250 BY BOAT CAPTAIN,266,32 & §30(1),yes,181,not in the list of non-expungable offenses.,,
182,LARCENY OVER $250 BY FALSE PRETENSE c266 §34 & §30(1),39,110,LARCENY OVER $250 BY FALSE PRETENSE,266,34 & §30(1),yes,182,not in the list of non-expungable offenses.,,
183,LARCENY UNDER $250 BY FALSE PRETENSE c266 §34 & §30(1),34,45,LARCENY UNDER $250 BY FALSE PRETENSE,266,34 & §30(1),yes,183,not in the list of non-expungable offenses.,,
184,LARCENY UNDER $1200 BY FALSE PRETENSE c266 §34 & §30(1),2,0,LARCENY UNDER $1200 BY FALSE PRETENSE,266,34 & §30(1),yes,184,not in the list of non-expungable offenses.,,
185,LARCENY OVER $1200 BY FALSE PRETENSE c266 §34 & 30(1),1,0,LARCENY OVER $1200 BY FALSE PRETENSE,266,34 & 30(1),yes,185,not in the list of non-expungable offenses.,,
