,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Analysis notes
263,"FIREARM, SELL/TRANSFER LARGE CAPACITY c269 §10F(a)",0,6,"FIREARM, SELL/TRANSFER LARGE CAPACITY",269,10F(a),m,263,"not in the list of non-expungable offenses. 10F is not in the list of ineligible sections of c269. Sana  indicated it would not be expungable, but a deeper look might be worht it.",100J(a)19 - Ch 269 S10 a-d violation,analyze with and without
264,"FIREARM TO MINOR, SELL/TRANSFER LARGE CAPACITY c269 §10F(b)",0,2,"FIREARM TO MINOR, SELL/TRANSFER LARGE CAPACITY",269,10F(b),m,264,"not in the list of non-expungable offenses. 10F is not in the list of ineligible sections of c269. Sana  indicated it would not be expungable, but a deeper look might be worht it.",,analyze with and without
265,FIREARM VIOL WITH 1 PRIOR VIOLENT/DRUG CRIME c269 §10G(a),11,295,FIREARM VIOL WITH 1 PRIOR VIOLENT/DRUG CRIME,269,10G(a),no,265,this is a combination of having violated Ch 269 S10 a-d and having been previously convicted of a violent crime or of a serious drug offense,100J(a)19 - Ch 269 S10 a-d violation,
266,FIREARM VIOL WITH 2 PRIOR VIOLENT/DRUG CRIMES c269 §10G(b),11,154,FIREARM VIOL WITH 2 PRIOR VIOLENT/DRUG CRIMES,269,10G(b),no,266,this is a combination of having violated Ch 269 S10 a-d and having been previously convicted of a violent crime or of a serious drug offense,100J(a)19 - Ch 269 S10 a-d violation,
267,FIREARM VIOL WITH 3 PRIOR VIOLENT/DRUG CRIMES c269 §10G(c),8,217,FIREARM VIOL WITH 3 PRIOR VIOLENT/DRUG CRIMES,269,10G(c),no,267,this is a combination of having violated Ch 269 S10 a-d and having been previously convicted of a violent crime or of a serious drug offense,100J(a)19 - Ch 269 S10 a-d violation,
268,"FIREARM, INTOXICATED LICENSEE CARRY c269 §10H",29,36,"FIREARM, INTOXICATED LICENSEE CARRY",269,10H,yes,268,not in the list of non-expungable offenses.,,
269,"AMMUNITION, POSSESSION OF c. 269 s. 10H",0,4,"AMMUNITION, POSSESSION OF",269,10H,yes,269,not in the list of non-expungable offenses.,,
270,"FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF, C269,S10(a)(d)(n)",1,0,"FIREARM, CARRY WITHOUT LICENSE LOADED, 2ND OFF, C269,S10(A)(D)(N)","269,",10(a)(d)(n),no,270,,100J(a)19 - Ch 269 S10 a-d violation,
271,"RIFLE/SHOTGUN ON WAY, CARRY LOADED c269 §12D",0,1,"RIFLE/SHOTGUN ON WAY, CARRY LOADED",269,12D,yes,271,1484 on Master Crime List offense with Expunge categories.xlsx from Sana,,
272,AIRPORT SECURITY VIOLATION c269 §12F,0,17,AIRPORT SECURITY VIOLATION,269,12F,yes,272,not in the list of non-expungable offenses.,,
273,"BOMB THREAT, FALSE c269 §14(a)",8,41,"BOMB THREAT, FALSE",269,14(a),yes,273,1490 on Master Crime List offense with Expunge categories.xlsx from Sana,,
274,"FIREARMS, DISTRIBUTION OF c269 §10E(1)",0,1,"FIREARMS, DISTRIBUTION OF",269,10E(1),no,274,,100J(a)20 - Ch 269 S10E violation,
